serial,title,language,info_url
SLUS-01524,BEAR IN THE BIG BLUE HOUSE,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01524.html
SLUS-00508,BEAST WARS - TRANSFORMERS,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00508.html
SLUS-01160,BEAST WARS - TRANSFORMERS - TRANSMETAL,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01160.html
SLUS-01489,BEYBLADE - LET IT RIP!,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01489.html
SCUS-94702,BEYOND THE BEYOND,[E],https://psxdatacenter.com/psx2/games/U/B/SCUS-94702.html
SLUS-00645,BIG AIR,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00645.html
SLUS-01442,BIG BASS FISHING,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01442.html
SLUS-00228,BIG BASS WORLD CHAMPIONSHIP,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00228.html
SLUS-01527,BIG LEAGUE SLUGGERS BASEBALL,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01527.html
SLUS-01259,BIG OL' BASS 2,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01259.html
SLUS-01478,BIG STRIKE BOWLING,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01478.html
SLUS-01289,BILLIARDS,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01289.html
SLUS-00502,BIO F.R.E.A.K.S,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00502.html
SLUS-00648,BLACK BASS WITH BLUE MARLIN,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00648.html
SLUS-00321,BLACK DAWN,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00321.html
SLUS-01215,BLADE,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01215.html
SLUS-00219,BLAST CHAMBER,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00219.html
SLUS-01380,BLAST LACROSSE,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01380.html
SLUS-00642,BLAST RADIUS,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00642.html
SLUS-01031,BLASTER MASTER - BLASTING AGAIN,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01031.html
SCUS-94412,BLASTO,[E],https://psxdatacenter.com/psx2/games/U/B/SCUS-94412.html
SLUS-00100,BLAZING DRAGONS,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00100.html
SLUS-01496,BLOCKIDS,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01496.html
SLUS-00027,BLOOD OMEN - LEGACY OF KAIN,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00027.html
SCUS-94199,BLOODY ROAR,[E],https://psxdatacenter.com/psx2/games/U/B/SCUS-94199.html
SCUS-94424,BLOODY ROAR 2,[E],https://psxdatacenter.com/psx2/games/U/B/SCUS-94424.html
SLUS-01198,BLUE'S CLUES - BLUE'S BIG MUSICAL,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01198.html
SLUS-01333,BOARD GAME - TOP SHOP,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01333.html
SLUS-01407,BOB THE BUILDER - CAN WE FIX IT?,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01407.html
SCUS-94307,BOGEY DEAD 6,[E],https://psxdatacenter.com/psx2/games/U/B/SCUS-94307.html
SLUS-00823,BOMBERMAN FANTASY RACE,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00823.html
SLUS-01189,BOMBERMAN PARTY EDITION,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01189.html
SLUS-00680,BOMBERMAN WORLD,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00680.html
SLUS-00968,BOOM BOTS,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00968.html
SLUS-00049,BOTTOM OF THE NINTH,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00049.html
SLUS-00296,BOTTOM OF THE NINTH '97,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00296.html
SLUS-00678,BOTTOM OF THE NINTH '99,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00678.html
SLUS-01288,BOWLING,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01288.html
SLUS-01309,BOXING,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01309.html
SLUS-00444,BRAHMA FORCE - THE ASSAULT ON BELTLOGGER 9,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00444.html
SLUS-00083SLUS-00171,BRAIN DEAD 13  -  [ 2 DISCS ],[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00083.html
SLUS-01508,BRATZ,[E][F][S],https://psxdatacenter.com/psx2/games/U/B/SLUS-01508.html
SLUS-00726SLUS-90029,"BRAVE FENCER MUSASHI  -  [ 2 DISCS ]
 Includes: 
		SquareSoft '98 Collector's CD Vol.2 - Final Fantasy VIII (DEMO)",[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00726.html
SLUS-00488,BRAVO AIR RACE,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00488.html
SLUS-01170,BREAKOUT,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01170.html
SLUS-00422,BREATH OF FIRE III,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00422.html
SLUS-01324,BREATH OF FIRE IV,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01324.html
SLUS-00687,BRIGANDINE - THE LEGEND OF FORSENA,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00687.html
SLUS-00289,BROKEN HELIX,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00289.html
SLUS-00484,BROKEN SWORD - THE SHADOW OF THE TEMPLARS,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00484.html
SLUS-00812,BROKEN SWORD 2 - THE SMOKING MIRROR,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00812.html
SLUS-00571,BRUNSWICK CIRCUIT PRO BOWLING,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00571.html
SLUS-00856,BRUNSWICK CIRCUIT PRO BOWLING 2,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00856.html
SLUS-00370,BUBBLE BOBBLE FEAT. RAINBOW ISLANDS,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00370.html
SLUS-00110,BUBSY 3D,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00110.html
SLUS-00354,BUGRIDERS - THE RACE OF KINGS,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00354.html
SLUS-00838,BUGS BUNNY - LOST IN TIME,[E][F][S],https://psxdatacenter.com/psx2/games/U/B/SLUS-00838.html
SLUS-01144,BUGS BUNNY & TAZ - TIME BUSTERS,[E][F][S],https://psxdatacenter.com/psx2/games/U/B/SLUS-01144.html
SLUS-01086,BUILDER'S BLOCK,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01086.html
SLUS-00324,BURNING ROAD,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00324.html
SLUS-01317,BURSTRICK WAKE BOARDING!!,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01317.html
SCUS-94180,BUSHIDO BLADE,[E],https://psxdatacenter.com/psx2/games/U/B/SCUS-94180.html
SLUS-00663,BUSHIDO BLADE 2,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00663.html
SCUS-94263,BUST A GROOVE,[E][S],https://psxdatacenter.com/psx2/games/U/B/SCUS-94263.html
SLUS-01159,BUST A GROOVE 2,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01159.html
SLUS-00233,BUST-A-MOVE 2 - ARCADE EDITION,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00233.html
SLUS-00754,BUST-A-MOVE 4,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00754.html
SLUS-00725,BUST-A-MOVE '99,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00725.html
SLUS-00208,BUSTER BROS. COLLECTION,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00208.html
SLUS-00499,C - THE CONTRA ADVENTURE,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00499.html
